latitud,codigoSerial,variableConsulta,fecha,calidad,valor,nombre,nombreCorto,longitud
6.3784332,3,co,2021-12-14 04:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 05:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 06:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 07:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 08:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 09:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 10:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 11:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 12:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 13:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 14:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 15:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 16:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 17:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 18:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 19:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 20:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 21:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 22:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-14 23:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 00:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 01:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 02:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 03:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 04:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 05:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 06:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 07:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 08:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
6.3784332,3,co,2021-12-15 09:00:00,4.31,-9999.0,_OFF-Girardota - S.O.S Aburrá Norte,GIR-SOSN,-75.4511414
